name,club,scores
Colin Affleck,Durham University Archery Club,"[10, 8, 7, 6, 4, 3, 8, 8, 4, 3, 2, 2, 9, 9, 8, 8, 7, 1, 10, 8, 8, 5, 3, 0, 9, 6, 6, 5, 5, 4, 10, 9, 8, 8, 7, 6, 8, 7, 7, 7, 6, 2, 9, 8, 8, 8, 8, 6, 10, 8, 8, 7, 6, 6, 9, 8, 8, 7, 6, 5, 10, 9, 9, 8, 7, 6, 8, 8, 7, 7, 6, 5, 10, 8, 4, 7, 6, 5, 9, 9, 6, 8, 6, 6, 9, 8, 6, 7, 6, 5, 8, 5, 4, 10, 8, 8, 10, 9, 9, 9, 6, 6, 9, 8, 5, 9, 8, 8, 10, 10, 9, 9, 8, 7, 10, 9, 9, 9, 9, 7, 10, 7, 7, 10, 9, 9, 9, 9, 8, 10, 10, 9, 10, 10, 9, 10, 10, 8, 10, 9, 8, 10, 10, 8]"
Graeme Black,Edinburgh Napier University Archery Club,"[8, 8, 8, 7, 3, 2, 10, 10, 5, 5, 2, 0, 7, 6, 4, 4, 3, 3, 9, 7, 7, 7, 5, 0, 10, 7, 7, 5, 2, 2, 9, 6, 6, 5, 4, 1, 8, 7, 7, 6, 6, 1, 8, 8, 7, 4, 4, 3, 9, 8, 8, 5, 5, 0, 9, 7, 7, 6, 5, 3, 8, 8, 6, 6, 5, 4, 9, 9, 8, 7, 6, 6, 9, 8, 5, 7, 5, 3, 8, 7, 4, 6, 2, 0, 10, 7, 2, 9, 7, 5, 5, 4, 1, 6, 4, 3, 10, 7, 6, 8, 7, 6, 8, 7, 6, 8, 7, 4, 9, 8, 6, 10, 8, 8, 9, 7, 6, 10, 9, 9, 8, 7, 7, 9, 9, 7, 9, 9, 7, 8, 8, 5, 8, 7, 0, 10, 9, 8, 8, 8, 7, 10, 9, 7]"
Matthew Panchal,Keele University Archery Club,"[10, 8, 6, 5, 3, 0, 6, 3, 2, 0, 0, 0, 9, 4, 3, 3, 0, 0, 8, 7, 5, 5, 4, 3, 8, 7, 6, 5, 3, 3, 8, 8, 7, 6, 5, 2, 9, 7, 5, 5, 3, 2, 9, 6, 5, 5, 5, 4, 8, 8, 6, 6, 5, 0, 10, 9, 8, 7, 5, 0, 9, 7, 6, 6, 3, 1, 9, 8, 7, 6, 4, 4, 9, 6, 3, 8, 6, 4, 10, 5, 3, 7, 4, 4, 6, 4, 2, 9, 5, 1, 10, 2, 1, 8, 8, 2, 8, 8, 8, 7, 6, 0, 7, 7, 5, 7, 6, 4, 9, 9, 3, 10, 9, 8, 9, 8, 8, 9, 9, 9, 10, 9, 9, 10, 8, 7, 8, 7, 7, 8, 8, 8, 9, 8, 7, 9, 9, 9, 10, 9, 8, 9, 9, 7]"
Piotr Wojtczuk,Edinburgh Napier University Archery Club,"[10, 6, 6, 6, 4, 3, 9, 9, 7, 4, 2, 2, 9, 9, 8, 7, 4, 3, 8, 8, 7, 4, 3, 2, 9, 9, 7, 6, 6, 6, 9, 9, 7, 6, 5, 4, 9, 9, 8, 8, 7, 5, 10, 9, 8, 7, 5, 5, 10, 9, 9, 9, 8, 7, 8, 8, 6, 5, 5, 4, 8, 8, 8, 6, 5, 5, 10, 8, 8, 7, 6, 5, 9, 6, 3, 8, 7, 6, 8, 8, 7, 10, 9, 7, 10, 7, 5, 10, 6, 4, 8, 6, 4, 7, 5, 5, 8, 8, 7, 10, 10, 9, 9, 7, 7, 8, 8, 7, 10, 9, 8, 10, 10, 9, 9, 9, 8, 9, 9, 7, 10, 9, 9, 10, 9, 7, 10, 10, 9, 9, 9, 8, 9, 9, 8, 9, 8, 7, 10, 9, 8, 9, 9, 7]"
David Whittle,Durham University Archery Club,"[0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 8, 4, 0, 0, 3, 1, 0, 0, 0, 0, 9, 6, 0, 0, 0, 0, 4, 3, 0, 0, 0, 0, 8, 4, 1, 0, 0, 0, 2, 0, 0, 10, 0, 0, 6, 2, 0, 3, 0, 0, 5, 2, 1, 0, 0, 0, 3, 2, 0, 6, 5, 1, 0, 0, 0, 5, 1, 0, 6, 0, 0, 8, 7, 0, 3, 0, 0, 8, 6, 6, 9, 4, 1, 8, 5, 3, 9, 4, 4, 8, 7, 0, 6, 1, 0, 9, 7, 2, 4, 4, 1, 8, 6, 2, 8, 5, 0, 8, 7, 5]"
Adam Shorrock,Lancaster University Archery Club,"[6, 5, 1, 1, 0, 0, 6, 5, 3, 3, 1, 0, 9, 8, 8, 7, 2, 0, 9, 8, 7, 7, 3, 0, 10, 8, 6, 6, 2, 2, 9, 9, 5, 5, 0, 0, 10, 10, 9, 8, 7, 2, 9, 9, 8, 7, 5, 3, 10, 9, 9, 9, 5, 4, 9, 8, 7, 7, 6, 5, 8, 8, 7, 3, 2, 2, 8, 7, 7, 5, 4, 3, 8, 3, 2, 7, 6, 6, 7, 7, 4, 6, 4, 0, 7, 6, 1, 9, 9, 6, 7, 7, 4, 6, 3, 2, 7, 3, 2, 6, 5, 0, 7, 6, 5, 8, 5, 1, 8, 7, 6, 7, 6, 5, 9, 7, 3, 8, 7, 5, 9, 7, 5, 8, 7, 7, 10, 10, 5, 10, 8, 6, 9, 8, 7, 8, 8, 7, 8, 8, 7, 10, 9, 7]"
Dan Ellingham,Keele University Archery Club,"[9, 8, 1, 0, 0, 0, 6, 5, 3, 2, 2, 0, 6, 5, 4, 3, 3, 2, 6, 6, 3, 0, 0, 0, 9, 6, 6, 4, 0, 0, 5, 5, 4, 4, 0, 0, 7, 6, 6, 0, 0, 0, 8, 7, 7, 5, 2, 0, 6, 3, 3, 1, 1, 0, 10, 9, 6, 6, 1, 0, 8, 8, 7, 7, 4, 0, 8, 7, 5, 4, 3, 1, 3, 0, 0, 1, 0, 0, 5, 4, 4, 6, 2, 2, 9, 1, 0, 9, 0, 0, 9, 4, 1, 7, 0, 0, 10, 4, 1, 6, 4, 0, 8, 3, 2, 7, 4, 3, 9, 9, 7, 8, 4, 4, 8, 7, 7, 9, 8, 7, 9, 8, 3, 9, 8, 7, 10, 9, 8, 9, 8, 7, 9, 7, 7, 9, 9, 8, 10, 9, 8, 9, 9, 7]"
Sam Evans,Lancaster University Archery Club,"[8, 4, 1, 0, 0, 0, 8, 6, 3, 2, 0, 0, 8, 7, 6, 2, 0, 0, 9, 9, 6, 6, 3, 0, 7, 5, 5, 4, 0, 0, 7, 7, 5, 4, 1, 0, 7, 6, 4, 3, 1, 0, 8, 8, 8, 7, 5, 0, 10, 8, 4, 0, 0, 0, 10, 8, 4, 1, 0, 0, 8, 3, 1, 1, 1, 0, 5, 4, 3, 1, 0, 0, 8, 2, 1, 4, 3, 3, 8, 6, 3, 8, 6, 5, 8, 3, 3, 5, 3, 0, 5, 2, 1, 6, 6, 0, 8, 7, 1, 5, 3, 0, 7, 6, 4, 6, 3, 0, 10, 6, 2, 8, 7, 5, 7, 4, 4, 7, 5, 2, 9, 6, 1, 10, 9, 9, 10, 7, 0, 8, 6, 0, 9, 9, 7, 9, 7, 3, 9, 7, 5, 10, 7, 5]"
Dan Woodthorpe,MMU Cheshire Archery Club,"[6, 3, 0, 0, 0, 0, 4, 2, 0, 0, 0, 0, 6, 5, 1, 0, 0, 0, 5, 3, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 8, 2, 0, 0, 0, 0, 5, 5, 4, 0, 0, 0, 10, 6, 3, 3, 0, 0, 8, 7, 7, 0, 0, 0, 4, 4, 3, 1, 0, 0, 4, 2, 0, 0, 0, 0, 4, 3, 3, 0, 0, 0, 8, 0, 0, 6, 3, 0, 1, 1, 0, 2, 0, 0, 9, 7, 5, 4, 0, 0, 3, 0, 0, 0, 0, 0, 8, 6, 2, 3, 1, 0, 8, 6, 4, 2, 0, 0, 8, 5, 0, 9, 6, 1, 10, 7, 5, 9, 6, 3, 8, 7, 6, 10, 7, 5, 9, 6, 3, 6, 3, 0, 6, 5, 3, 8, 4, 0, 9, 7, 6, 8, 7, 4]"
Richard Conway,MMU Cheshire Archery Club,"[0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 6, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 4, 3, 2, 0, 5, 4, 4, 2, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 9, 0, 0, 6, 2, 0, 0, 0, 0, 3, 1, 0, 4, 4, 3, 3, 0, 0, 3, 2, 0, 8, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 6, 4, 0, 2, 0, 0, 6, 5, 0, 0, 0, 0, 6, 3, 0, 9, 7, 3, 10, 4, 2, 7, 7, 7, 3, 3, 0, 7, 3, 1]"
Thomas Cram,Loughborough Students Archery Club,"[10, 9, 9, 8, 7, 6, 8, 7, 6, 6, 3, 3, 9, 9, 9, 9, 8, 8, 10, 9, 9, 9, 8, 7, 9, 8, 8, 6, 5, 5, 10, 8, 7, 7, 5, 2, 10, 9, 9, 9, 8, 5, 9, 9, 9, 7, 6, 5, 9, 9, 8, 8, 7, 6, 9, 9, 8, 8, 7, 3, 9, 8, 7, 7, 4, 3, 10, 9, 9, 9, 9, 7, 9, 7, 4, 9, 6, 6, 10, 6, 6, 10, 7, 7, 9, 9, 8, 8, 8, 5, 10, 8, 5, 9, 9, 9, 8, 7, 7, 10, 9, 7, 10, 8, 7, 9, 9, 4, 10, 10, 9, 10, 10, 9, 9, 8, 8, 10, 8, 7, 10, 9, 9, 9, 9, 7, 10, 10, 8, 9, 8, 8, 10, 9, 9, 9, 9, 8, 9, 9, 8, 9, 7, 7]"
Arthur Coveney,Loughborough Students Archery Club,"[9, 8, 8, 6, 5, 3, 7, 6, 4, 1, 0, 0, 10, 8, 8, 8, 5, 2, 9, 7, 7, 7, 7, 4, 8, 8, 8, 7, 6, 3, 9, 9, 8, 7, 4, 3, 9, 9, 8, 8, 8, 4, 9, 9, 8, 8, 7, 7, 10, 9, 7, 5, 5, 4, 10, 10, 10, 9, 8, 5, 10, 9, 9, 7, 7, 5, 10, 9, 8, 8, 7, 6, 9, 9, 8, 8, 6, 4, 8, 5, 5, 10, 7, 5, 9, 7, 7, 8, 5, 4, 8, 8, 6, 9, 7, 3, 10, 8, 6, 9, 8, 5, 9, 7, 5, 10, 8, 5, 10, 9, 8, 9, 9, 8, 10, 8, 8, 10, 9, 8, 9, 8, 0, 10, 9, 9, 9, 8, 5, 9, 8, 5, 9, 8, 6, 9, 8, 7, 10, 9, 8, 10, 7, 6]"
Benjamin Arenas,Edinburgh University Archery Club,"[10, 8, 8, 8, 5, 4, 10, 5, 5, 4, 2, 1, 8, 8, 5, 5, 5, 4, 7, 7, 6, 6, 5, 4, 8, 8, 7, 6, 0, 0, 7, 7, 6, 5, 4, 4, 10, 8, 6, 5, 4, 1, 9, 9, 8, 8, 7, 7, 9, 8, 7, 7, 6, 4, 10, 9, 8, 7, 5, 5, 10, 10, 8, 8, 5, 5, 10, 9, 7, 6, 6, 5, 10, 4, 0, 8, 8, 7, 7, 7, 6, 8, 7, 7, 8, 7, 6, 7, 5, 3, 9, 9, 7, 9, 8, 4, 10, 7, 7, 9, 8, 3, 10, 6, 6, 10, 8, 7, 10, 8, 8, 10, 9, 6, 10, 9, 8, 10, 8, 8, 7, 7, 6, 10, 10, 9, 10, 9, 8, 9, 9, 9, 9, 8, 8, 9, 7, 7, 10, 9, 8, 10, 9, 8]"
Matt McCormack,Lancaster University Archery Club,"[8, 7, 6, 5, 3, 1, 10, 8, 6, 6, 5, 2, 8, 6, 6, 5, 5, 2, 8, 8, 7, 7, 6, 4, 9, 7, 7, 7, 5, 5, 9, 8, 7, 6, 6, 0, 9, 8, 4, 0, 0, 0, 7, 6, 6, 3, 3, 1, 9, 8, 7, 6, 4, 0, 7, 7, 6, 5, 5, 3, 10, 10, 8, 8, 7, 5, 9, 7, 7, 6, 6, 4, 6, 4, 1, 7, 5, 5, 6, 5, 4, 7, 6, 4, 9, 7, 1, 10, 8, 5, 10, 6, 5, 8, 6, 5, 9, 6, 6, 4, 4, 2, 6, 6, 4, 9, 9, 3, 10, 9, 8, 9, 9, 6, 10, 8, 8, 9, 8, 8, 9, 9, 8, 9, 9, 9, 8, 8, 8, 10, 9, 8, 10, 9, 8, 9, 8, 8, 9, 9, 8, 9, 8, 7]"
James Nicol,Keele University Archery Club,"[8, 3, 2, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Chris Woodhead,Lancaster University Archery Club,"[7, 7, 7, 6, 4, 2, 8, 7, 4, 3, 0, 0, 8, 8, 7, 6, 5, 0, 9, 8, 6, 6, 2, 1, 10, 6, 3, 1, 0, 0, 8, 8, 7, 6, 3, 3, 8, 8, 8, 7, 6, 5, 9, 9, 7, 5, 5, 3, 8, 6, 6, 5, 3, 2, 9, 8, 4, 4, 4, 0, 10, 8, 8, 5, 5, 3, 8, 6, 5, 4, 3, 0, 8, 5, 0, 5, 5, 3, 9, 8, 8, 8, 6, 4, 7, 4, 1, 8, 7, 4, 9, 6, 4, 10, 6, 5, 6, 5, 0, 7, 6, 5, 9, 7, 6, 8, 6, 0, 10, 9, 7, 8, 7, 5, 9, 9, 8, 8, 4, 1, 8, 8, 8, 10, 8, 8, 9, 8, 8, 10, 9, 4, 9, 9, 9, 10, 10, 6, 8, 8, 7, 9, 9, 7]"
Rhys Patimore,MMU Cheshire Archery Club,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 8, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 4, 2, 2, 2, 0, 0, 6, 5, 2, 1, 0, 0, 3, 0, 0, 6, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 10, 0, 0, 3, 1, 0, 4, 0, 0, 8, 2, 0, 6, 6, 4, 5, 4, 4, 3, 3, 2, 6, 5, 2, 8, 5, 2, 6, 5, 2, 4, 3, 2, 4, 4, 0]"
Matthew Langton,Oxford University Company of Archers,"[9, 8, 7, 7, 7, 7, 10, 10, 9, 5, 5, 3, 10, 9, 7, 6, 5, 0, 9, 7, 7, 7, 5, 4, 10, 9, 9, 7, 6, 5, 9, 9, 8, 8, 6, 4, 10, 9, 7, 7, 3, 2, 10, 9, 9, 8, 8, 8, 10, 9, 9, 9, 8, 4, 8, 7, 7, 7, 6, 6, 10, 9, 8, 8, 8, 8, 10, 9, 9, 8, 8, 6, 8, 8, 3, 10, 10, 5, 8, 8, 6, 8, 7, 7, 7, 7, 7, 10, 9, 7, 9, 9, 2, 9, 8, 7, 9, 8, 8, 10, 10, 0, 10, 8, 8, 10, 8, 7, 10, 9, 9, 10, 9, 7, 10, 9, 8, 10, 10, 9, 10, 9, 7, 10, 9, 9, 10, 10, 7, 10, 9, 9, 10, 8, 8, 10, 10, 9, 10, 9, 9, 10, 9, 9]"
Jack Sobey,Oxford University Company of Archers,"[8, 7, 6, 5, 5, 4, 8, 7, 7, 5, 4, 3, 8, 7, 6, 5, 5, 4, 9, 8, 7, 6, 5, 5, 10, 8, 8, 8, 8, 0, 9, 7, 7, 6, 6, 4, 9, 9, 8, 6, 6, 2, 9, 8, 8, 8, 6, 4, 8, 7, 7, 7, 6, 6, 9, 8, 8, 8, 7, 2, 9, 8, 8, 8, 7, 7, 9, 8, 7, 6, 5, 5, 9, 7, 6, 8, 8, 6, 9, 8, 6, 10, 8, 8, 7, 7, 5, 10, 8, 4, 9, 8, 6, 9, 8, 3, 9, 9, 6, 8, 8, 3, 10, 10, 8, 9, 7, 6, 10, 9, 7, 10, 9, 8, 10, 10, 9, 10, 9, 9, 10, 9, 8, 10, 10, 9, 9, 8, 7, 9, 8, 8, 9, 8, 8, 9, 9, 7, 10, 8, 7, 9, 8, 8]"
Dave Jenner,Swansea University Archery Club,"[10, 8, 8, 7, 2, 0, 7, 7, 6, 6, 4, 0, 9, 8, 8, 6, 3, 2, 8, 8, 8, 7, 5, 2, 7, 7, 6, 5, 2, 0, 9, 7, 7, 5, 4, 1, 8, 7, 6, 5, 4, 1, 9, 8, 7, 5, 2, 2, 8, 7, 5, 5, 4, 0, 10, 9, 6, 6, 5, 5, 7, 7, 7, 6, 6, 5, 10, 7, 4, 4, 3, 1, 8, 8, 7, 10, 1, 0, 9, 8, 7, 10, 8, 6, 9, 8, 4, 5, 4, 0, 8, 7, 3, 10, 7, 5, 10, 7, 7, 8, 6, 0, 10, 7, 5, 5, 5, 3, 10, 9, 8, 9, 6, 5, 9, 9, 8, 8, 7, 6, 10, 9, 9, 10, 8, 7, 9, 9, 5, 8, 7, 6, 9, 8, 7, 9, 8, 8, 9, 9, 7, 9, 8, 8]"
John Hodgson,Loughborough Students Archery Club,"[1, 0, 0, 0, 0, 0, 7, 4, 0, 0, 0, 0, 4, 3, 2, 0, 0, 0, 5, 5, 4, 1, 0, 0, 10, 9, 4, 3, 0, 0, 4, 4, 3, 0, 0, 0, 4, 0, 0, 0, 0, 0, 9, 8, 6, 4, 1, 0, 6, 5, 3, 0, 0, 0, 9, 5, 4, 4, 2, 0, 10, 8, 7, 6, 3, 1, 10, 7, 6, 5, 2, 2, 0, 0, 0, 7, 4, 1, 7, 4, 2, 10, 8, 3, 9, 9, 8, 2, 1, 1, 5, 5, 0, 5, 4, 2, 8, 6, 3, 8, 7, 6, 9, 0, 0, 8, 5, 3, 7, 5, 3, 5, 5, 2, 8, 8, 8, 9, 9, 7, 8, 7, 6, 10, 10, 7, 10, 9, 6, 8, 7, 7, 9, 7, 6, 9, 7, 2, 10, 9, 6, 9, 7, 7]"
Edward Reeves,Loughborough Students Archery Club,"[10, 8, 7, 6, 5, 2, 9, 8, 5, 3, 3, 0, 7, 7, 6, 6, 4, 4, 8, 7, 7, 6, 5, 1, 9, 7, 6, 1, 1, 0, 9, 7, 5, 4, 2, 2, 9, 8, 7, 7, 7, 4, 10, 8, 7, 7, 5, 3, 8, 8, 8, 6, 6, 4, 10, 9, 9, 8, 7, 3, 10, 10, 9, 8, 8, 7, 9, 8, 8, 8, 6, 6, 9, 6, 5, 9, 8, 7, 7, 4, 3, 8, 7, 5, 9, 7, 7, 9, 8, 7, 8, 8, 5, 7, 7, 4, 8, 7, 7, 8, 8, 4, 9, 9, 6, 9, 8, 6, 8, 8, 7, 9, 8, 8, 10, 10, 9, 10, 9, 8, 8, 8, 8, 10, 10, 9, 10, 10, 9, 10, 9, 9, 10, 9, 8, 10, 9, 8, 10, 9, 8, 10, 9, 8]"
Alexander Smith,Oxford University Company of Archers,"[9, 7, 7, 5, 5, 5, 9, 9, 8, 8, 7, 6, 9, 9, 7, 7, 7, 4, 8, 7, 6, 5, 4, 2, 9, 9, 9, 8, 5, 4, 8, 8, 6, 6, 6, 5, 10, 9, 8, 7, 6, 3, 8, 7, 7, 7, 4, 4, 9, 8, 8, 7, 6, 0, 10, 9, 8, 7, 5, 4, 9, 9, 9, 7, 6, 5, 9, 8, 8, 7, 7, 3, 7, 7, 5, 9, 8, 7, 9, 9, 8, 10, 9, 9, 9, 8, 1, 9, 9, 6, 7, 5, 5, 8, 8, 5, 9, 9, 8, 8, 6, 2, 9, 7, 5, 10, 7, 7, 10, 9, 8, 10, 9, 8, 10, 9, 9, 10, 10, 10, 10, 8, 0, 9, 9, 8, 9, 9, 0, 10, 10, 9, 10, 9, 9, 10, 8, 7, 9, 8, 0, 10, 10, 9]"
Simon Garrett,University of Aberdeen Archery Club,"[9, 6, 5, 4, 3, 2, 9, 7, 7, 7, 6, 5, 10, 9, 9, 8, 5, 3, 10, 9, 7, 6, 6, 0, 9, 9, 7, 7, 6, 4, 8, 8, 8, 6, 5, 3, 9, 8, 6, 6, 4, 3, 9, 9, 9, 8, 6, 5, 9, 8, 8, 8, 6, 5, 9, 9, 9, 7, 7, 6, 10, 10, 8, 8, 8, 6, 9, 9, 8, 8, 7, 6, 9, 7, 7, 9, 9, 6, 10, 10, 7, 8, 8, 6, 9, 9, 7, 10, 7, 7, 8, 8, 4, 8, 8, 6, 9, 7, 7, 10, 9, 9, 8, 6, 5, 9, 5, 4, 10, 9, 6, 9, 9, 8, 10, 9, 7, 9, 7, 7, 10, 10, 7, 10, 7, 6, 9, 9, 6, 10, 8, 7, 9, 9, 9, 10, 10, 9, 10, 7, 7, 10, 10, 8]"
Ste Jones,Swansea University Archery Club,"[8, 4, 0, 0, 0, 0, 10, 4, 2, 0, 0, 0, 7, 5, 3, 3, 1, 0, 4, 2, 1, 0, 0, 0, 7, 6, 3, 2, 2, 2, 8, 5, 5, 2, 0, 0, 9, 6, 2, 2, 0, 0, 8, 7, 6, 4, 4, 0, 8, 5, 4, 3, 0, 0, 8, 7, 7, 4, 2, 0, 6, 6, 6, 5, 5, 4, 6, 5, 4, 4, 2, 2, 7, 5, 0, 5, 0, 0, 7, 1, 0, 1, 1, 0, 7, 3, 0, 6, 3, 0, 9, 8, 4, 9, 6, 3, 8, 5, 4, 6, 5, 4, 8, 8, 5, 9, 6, 3, 10, 8, 5, 9, 8, 6, 9, 9, 5, 8, 6, 2, 9, 7, 5, 7, 7, 0, 8, 7, 7, 10, 8, 8, 9, 8, 6, 9, 8, 7, 7, 6, 6, 9, 7, 6]"
Richard Whiter,Cambridge University Bowmen,"[8, 6, 6, 5, 2, 0, 10, 9, 9, 7, 3, 2, 10, 7, 5, 5, 3, 0, 9, 8, 8, 7, 5, 0, 8, 6, 6, 5, 5, 1, 10, 8, 6, 5, 3, 3, 9, 9, 7, 5, 4, 3, 9, 9, 8, 7, 5, 5, 10, 9, 8, 8, 7, 6, 10, 9, 8, 7, 4, 3, 9, 9, 8, 8, 6, 4, 9, 9, 8, 8, 6, 5, 8, 7, 6, 8, 8, 6, 9, 7, 6, 8, 6, 2, 8, 8, 7, 10, 8, 6, 8, 7, 6, 8, 6, 6, 8, 5, 4, 9, 8, 3, 9, 7, 5, 9, 8, 3, 10, 9, 7, 10, 9, 8, 9, 9, 8, 10, 8, 8, 10, 9, 8, 10, 9, 8, 10, 10, 9, 9, 9, 8, 9, 8, 7, 10, 9, 8, 10, 8, 8, 10, 9, 9]"
