name,club,scores
Jethro Cooke,University of Bath Archery Club,"[5, 5, 4, 1, 0, 0, 5, 5, 4, 3, 2, 1, 8, 6, 6, 4, 2, 0, 7, 5, 4, 4, 3, 0, 7, 5, 3, 3, 1, 0, 5, 5, 2, 2, 2, 2, 6, 6, 4, 4, 3, 1, 8, 7, 6, 6, 5, 2, 9, 8, 7, 6, 6, 4, 8, 7, 5, 4, 3, 0, 9, 7, 7, 7, 7, 5, 9, 8, 7, 7, 6, 6, 7, 1, 0, 9, 6, 3, 7, 5, 5, 9, 9, 2, 9, 6, 5, 9, 8, 7, 8, 7, 7, 10, 8, 6, 7, 7, 5, 9, 8, 6, 4, 4, 3, 9, 8, 7, 9, 8, 8, 10, 8, 8, 8, 7, 7, 10, 9, 7, 10, 9, 8, 8, 5, 4, 9, 9, 9, 10, 9, 6, 10, 8, 6, 10, 7, 6, 9, 8, 6, 10, 7, 5]"
Douglas Dutton,University of Aberdeen Archery Club,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Jonathan Hilliard,University of Bath Archery Club,"[10, 8, 7, 5, 5, 0, 10, 7, 5, 3, 0, 0, 10, 3, 1, 0, 0, 0, 7, 7, 4, 2, 1, 0, 8, 6, 5, 3, 0, 0, 8, 7, 5, 5, 2, 2, 9, 7, 6, 6, 1, 0, 9, 5, 4, 4, 4, 0, 6, 4, 1, 0, 0, 0, 10, 9, 5, 4, 4, 2, 9, 9, 8, 8, 7, 7, 8, 8, 7, 6, 5, 2, 7, 4, 1, 6, 3, 0, 6, 4, 2, 4, 1, 0, 8, 7, 0, 7, 6, 0, 6, 5, 0, 6, 6, 0, 9, 9, 6, 8, 8, 0, 7, 7, 5, 9, 3, 3, 9, 5, 2, 8, 7, 5, 7, 5, 3, 10, 6, 5, 10, 9, 7, 9, 6, 5, 8, 7, 4, 7, 5, 0, 10, 9, 5, 9, 8, 8, 9, 7, 7, 10, 9, 8]"
Tak Ho,Cambridge University Bowmen,"[8, 6, 5, 4, 4, 1, 8, 7, 7, 5, 5, 0, 8, 7, 5, 5, 4, 3, 7, 6, 6, 5, 3, 1, 8, 8, 8, 6, 4, 4, 8, 6, 6, 6, 2, 0, 7, 6, 6, 5, 5, 2, 9, 8, 8, 5, 0, 0, 9, 8, 7, 5, 5, 5, 10, 8, 8, 8, 6, 1, 8, 8, 8, 7, 7, 2, 7, 6, 6, 5, 5, 5, 7, 2, 0, 9, 5, 0, 8, 4, 2, 5, 0, 0, 10, 8, 7, 9, 7, 7, 9, 7, 4, 10, 10, 7, 9, 8, 6, 8, 8, 8, 10, 9, 3, 9, 8, 0, 7, 7, 7, 9, 8, 7, 10, 8, 7, 10, 9, 7, 8, 7, 6, 10, 10, 8, 10, 10, 9, 9, 8, 7, 10, 10, 9, 10, 7, 7, 9, 7, 5, 9, 8, 6]"
Shaun Rhodes,Derby University Archery Club,"[8, 7, 6, 6, 2, 1, 10, 10, 8, 8, 7, 3, 10, 9, 9, 8, 8, 3, 8, 7, 7, 5, 4, 4, 10, 9, 9, 7, 7, 3, 10, 9, 8, 8, 7, 7, 10, 7, 6, 6, 5, 0, 10, 9, 9, 8, 6, 5, 10, 9, 9, 7, 5, 1, 10, 8, 8, 6, 5, 5, 10, 9, 8, 8, 7, 6, 9, 9, 7, 7, 7, 4, 10, 9, 6, 7, 7, 5, 10, 6, 6, 9, 9, 6, 9, 8, 6, 8, 7, 5, 9, 9, 9, 9, 9, 7, 9, 9, 7, 8, 8, 6, 10, 9, 6, 8, 8, 5, 9, 8, 7, 10, 9, 9, 10, 8, 8, 10, 10, 9, 10, 9, 7, 10, 9, 8, 9, 8, 8, 10, 9, 7, 9, 7, 6, 10, 9, 7, 10, 10, 7, 9, 8, 8]"
Jack Atkinson,Cambridge University Bowmen,"[9, 6, 5, 5, 0, 0, 9, 8, 7, 6, 6, 5, 8, 7, 2, 0, 0, 0, 8, 7, 6, 5, 2, 1, 7, 6, 4, 2, 0, 0, 7, 7, 6, 3, 1, 0, 9, 9, 6, 6, 4, 3, 9, 9, 9, 8, 8, 5, 8, 8, 8, 7, 6, 5, 9, 9, 8, 7, 4, 3, 9, 9, 9, 7, 5, 4, 8, 8, 8, 5, 4, 4, 8, 6, 6, 8, 7, 6, 5, 5, 0, 10, 4, 4, 10, 10, 8, 8, 8, 6, 9, 8, 7, 10, 9, 9, 8, 7, 7, 8, 7, 5, 8, 8, 4, 8, 7, 4, 10, 9, 8, 10, 8, 7, 9, 8, 7, 8, 8, 7, 8, 7, 6, 8, 8, 7, 9, 9, 8, 9, 9, 8, 9, 8, 8, 10, 7, 7, 10, 9, 7, 10, 10, 7]"
Alexander Hickson,University of Bath Archery Club,"[10, 10, 10, 9, 9, 8, 9, 9, 8, 8, 8, 5, 8, 7, 7, 7, 6, 5, 9, 9, 6, 6, 6, 5, 9, 9, 8, 6, 5, 4, 8, 7, 7, 6, 6, 4, 8, 8, 8, 8, 7, 3, 10, 10, 8, 6, 6, 4, 10, 9, 8, 7, 7, 5, 10, 9, 8, 7, 6, 6, 9, 8, 8, 8, 7, 6, 10, 10, 9, 9, 9, 6, 8, 7, 7, 10, 9, 7, 10, 9, 9, 9, 9, 9, 9, 9, 6, 8, 8, 8, 9, 8, 7, 10, 9, 9, 10, 7, 5, 10, 10, 6, 10, 9, 8, 8, 8, 7, 9, 9, 8, 9, 9, 8, 10, 9, 7, 10, 10, 9, 10, 9, 7, 10, 10, 9, 10, 9, 7, 10, 10, 9, 10, 9, 9, 10, 10, 10, 9, 8, 7, 10, 10, 8]"
Douglas Jardine,Edinburgh University Archery Club,"[9, 8, 8, 7, 6, 4, 9, 9, 8, 6, 5, 3, 10, 10, 9, 8, 7, 5, 8, 8, 8, 7, 7, 6, 10, 9, 9, 8, 7, 3, 9, 9, 9, 8, 7, 7, 10, 8, 8, 8, 8, 7, 10, 9, 9, 9, 4, 2, 10, 9, 9, 7, 6, 3, 9, 9, 9, 6, 6, 5, 8, 8, 7, 7, 5, 0, 10, 9, 9, 9, 7, 7, 10, 9, 8, 9, 8, 7, 10, 9, 7, 9, 8, 7, 8, 8, 3, 10, 8, 6, 9, 7, 6, 9, 8, 7, 8, 8, 5, 9, 8, 7, 8, 7, 6, 9, 6, 5, 10, 9, 8, 9, 9, 9, 10, 9, 8, 10, 10, 8, 10, 10, 8, 9, 9, 8, 10, 9, 9, 10, 10, 9, 10, 10, 9, 9, 9, 8, 10, 9, 9, 9, 9, 8]"
Michael Wooster,University of Bath Archery Club,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 8, 3, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 8, 8, 0, 0, 0, 0, 9, 1, 0, 0, 0, 0, 6, 1, 0, 0, 0, 0, 5, 0, 0, 7, 4, 1, 9, 4, 0, 7, 3, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 0, 0, 3, 2, 1, 8, 6, 5, 9, 4, 0, 6, 3, 3, 4, 2, 1, 9, 4, 0, 9, 7, 6, 5, 4, 1, 8, 8, 0, 10, 6, 0, 7, 6, 0, 1, 1, 0]"
Tom Currall,Derby University Archery Club,"[10, 8, 8, 7, 3, 2, 8, 7, 6, 4, 4, 1, 8, 7, 6, 6, 5, 5, 9, 9, 7, 7, 5, 5, 10, 8, 8, 7, 6, 3, 9, 9, 8, 8, 8, 2, 10, 9, 8, 6, 5, 5, 9, 9, 9, 8, 7, 6, 10, 9, 8, 8, 8, 5, 10, 10, 9, 9, 8, 6, 10, 9, 8, 8, 7, 7, 10, 10, 10, 8, 7, 7, 8, 5, 2, 8, 7, 6, 10, 9, 6, 10, 9, 5, 9, 7, 3, 8, 6, 6, 10, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 5, 10, 8, 7, 9, 9, 8, 10, 9, 8, 9, 9, 8, 10, 9, 8, 10, 9, 9, 10, 9, 7, 9, 8, 8, 10, 8, 8, 10, 10, 9, 10, 10, 9, 8, 8, 7, 10, 9, 9, 9, 9, 8]"
Adam Williams,Exeter University Archery Club,"[9, 9, 7, 6, 3, 3, 8, 8, 5, 5, 2, 0, 9, 5, 3, 2, 2, 0, 7, 6, 6, 4, 2, 0, 7, 5, 5, 3, 1, 0, 8, 8, 8, 6, 4, 0, 10, 5, 3, 2, 0, 0, 9, 8, 8, 4, 2, 2, 7, 7, 6, 6, 6, 5, 10, 8, 6, 6, 4, 3, 8, 8, 7, 6, 6, 3, 9, 5, 3, 2, 2, 1, 5, 4, 3, 4, 2, 1, 6, 6, 6, 7, 3, 1, 10, 8, 6, 8, 3, 0, 9, 5, 4, 9, 7, 6, 10, 7, 6, 7, 6, 2, 10, 9, 3, 8, 6, 6, 10, 8, 0, 8, 8, 8, 10, 8, 8, 10, 10, 8, 9, 9, 9, 8, 8, 7, 10, 9, 5, 10, 10, 9, 10, 9, 8, 10, 9, 6, 10, 9, 9, 10, 9, 9]"
Brian Martin,Derby University Archery Club,"[7, 6, 4, 3, 3, 2, 9, 7, 7, 6, 5, 2, 9, 9, 8, 7, 5, 5, 8, 7, 7, 6, 5, 1, 9, 8, 5, 5, 0, 0, 9, 8, 8, 8, 7, 6, 10, 9, 8, 8, 7, 5, 10, 9, 8, 7, 6, 5, 8, 8, 8, 5, 5, 4, 9, 8, 7, 7, 6, 6, 9, 8, 7, 7, 4, 4, 10, 9, 8, 6, 6, 3, 9, 5, 5, 8, 7, 7, 9, 7, 6, 8, 5, 4, 9, 8, 7, 9, 8, 8, 10, 7, 5, 8, 7, 4, 7, 5, 2, 8, 7, 4, 9, 9, 8, 9, 9, 3, 6, 6, 3, 9, 9, 7, 10, 8, 7, 9, 7, 7, 9, 7, 6, 10, 9, 7, 9, 9, 7, 9, 8, 7, 10, 9, 6, 8, 8, 7, 10, 9, 6, 7, 6, 4]"
Stephen Wilkinson,University of Huddersfield Archery Club,"[9, 8, 6, 5, 4, 0, 8, 5, 4, 1, 0, 0, 6, 6, 4, 3, 2, 0, 8, 8, 4, 0, 0, 0, 8, 7, 4, 4, 2, 0, 8, 7, 7, 6, 6, 2, 9, 8, 8, 7, 5, 5, 8, 7, 6, 6, 3, 0, 8, 7, 6, 4, 4, 0, 10, 8, 5, 5, 1, 0, 10, 8, 8, 6, 4, 2, 9, 9, 7, 7, 6, 5, 8, 6, 4, 8, 8, 5, 9, 4, 3, 10, 8, 6, 8, 6, 6, 8, 7, 6, 9, 9, 6, 8, 8, 6, 8, 7, 3, 7, 4, 4, 9, 6, 6, 8, 8, 5, 10, 8, 8, 8, 8, 8, 10, 8, 7, 10, 7, 7, 8, 8, 7, 9, 7, 6, 9, 9, 9, 9, 8, 7, 10, 10, 9, 7, 7, 7, 9, 9, 9, 9, 8, 7]"
Matthew Batchelor,Exeter University Archery Club,"[9, 8, 8, 4, 2, 0, 4, 3, 3, 0, 0, 0, 6, 1, 0, 0, 0, 0, 10, 5, 4, 2, 2, 0, 10, 8, 6, 5, 3, 0, 1, 0, 0, 0, 0, 0, 8, 6, 0, 0, 0, 0, 4, 3, 1, 1, 0, 0, 7, 4, 2, 1, 1, 0, 9, 8, 7, 6, 4, 1, 8, 8, 8, 3, 3, 1, 9, 7, 6, 6, 5, 2, 9, 8, 0, 7, 5, 3, 1, 0, 0, 6, 3, 0, 4, 3, 1, 8, 3, 1, 3, 3, 0, 6, 5, 0, 6, 6, 5, 7, 1, 0, 10, 7, 7, 7, 6, 2, 8, 6, 4, 9, 7, 6, 10, 9, 3, 8, 8, 7, 10, 9, 7, 9, 6, 6, 9, 6, 6, 9, 8, 6, 8, 8, 7, 9, 8, 7, 10, 7, 5, 9, 9, 9]"
Robbie Crick,Edinburgh University Archery Club,"[6, 4, 4, 1, 0, 0, 7, 4, 2, 0, 0, 0, 5, 4, 1, 0, 0, 0, 9, 7, 6, 4, 0, 0, 5, 5, 4, 2, 1, 0, 9, 8, 6, 2, 0, 0, 10, 9, 8, 8, 3, 2, 9, 8, 8, 6, 5, 3, 6, 6, 5, 4, 3, 0, 10, 9, 9, 9, 8, 5, 9, 7, 6, 5, 3, 0, 10, 10, 6, 6, 4, 3, 10, 9, 8, 8, 8, 5, 8, 8, 5, 9, 8, 7, 7, 7, 6, 9, 5, 4, 9, 8, 5, 10, 9, 3, 9, 7, 5, 10, 8, 6, 10, 10, 7, 9, 8, 4, 10, 9, 9, 9, 9, 8, 10, 9, 8, 9, 8, 8, 9, 9, 9, 9, 8, 2, 8, 6, 6, 9, 9, 9, 9, 9, 8, 10, 8, 8, 9, 9, 7, 9, 9, 7]"
Lewis Shaw,University of Huddersfield Archery Club,"[8, 5, 4, 1, 0, 0, 7, 7, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 1, 0, 0, 0, 7, 6, 3, 2, 0, 0, 10, 8, 6, 6, 4, 4, 9, 9, 6, 5, 0, 0, 7, 6, 6, 5, 5, 1, 0, 0, 0, 2, 2, 0, 10, 7, 0, 3, 0, 0, 8, 4, 1, 6, 2, 0, 6, 2, 0, 7, 1, 0, 8, 0, 0, 7, 1, 0, 2, 0, 0, 8, 4, 0, 7, 7, 3, 8, 6, 4, 7, 5, 3, 9, 6, 1, 8, 8, 4, 7, 5, 4, 10, 7, 4, 7, 4, 4, 9, 3, 0, 7, 6, 3, 9, 8, 7, 7, 3, 2]"
Andrew Vo,University of Kent Archery Club,"[6, 4, 3, 2, 2, 2, 9, 7, 5, 5, 4, 2, 7, 7, 7, 5, 5, 2, 7, 5, 4, 3, 3, 1, 8, 7, 5, 4, 3, 2, 10, 8, 6, 6, 6, 1, 7, 4, 2, 1, 0, 0, 7, 7, 6, 5, 5, 4, 8, 7, 7, 4, 3, 3, 10, 10, 9, 8, 7, 5, 9, 9, 7, 5, 4, 0, 8, 8, 8, 7, 7, 5, 3, 2, 0, 8, 8, 6, 10, 7, 5, 8, 7, 6, 9, 7, 3, 10, 9, 7, 9, 8, 6, 8, 7, 7, 9, 6, 5, 7, 6, 5, 9, 9, 2, 9, 5, 5, 10, 9, 9, 10, 10, 7, 9, 9, 8, 10, 8, 7, 7, 7, 7, 9, 9, 9, 10, 9, 9, 10, 10, 9, 10, 8, 7, 9, 9, 7, 8, 7, 6, 9, 8, 7]"
Robert Warner,Derby University Archery Club,"[5, 5, 3, 3, 1, 1, 9, 4, 3, 3, 1, 0, 9, 8, 7, 6, 5, 0, 7, 6, 6, 5, 4, 3, 10, 6, 6, 1, 1, 0, 8, 8, 7, 7, 5, 5, 8, 8, 8, 4, 3, 0, 9, 6, 6, 5, 5, 4, 9, 8, 7, 7, 7, 6, 7, 6, 5, 4, 3, 1, 8, 6, 6, 4, 3, 1, 7, 6, 6, 5, 4, 4, 7, 0, 0, 9, 8, 8, 10, 8, 5, 10, 7, 4, 8, 8, 7, 9, 8, 7, 8, 6, 6, 10, 7, 3, 6, 5, 5, 8, 5, 2, 8, 6, 3, 9, 9, 6, 8, 5, 4, 7, 7, 1, 9, 9, 7, 10, 5, 4, 10, 9, 8, 9, 8, 7, 8, 8, 7, 8, 8, 5, 10, 10, 8, 9, 8, 5, 8, 7, 6, 10, 8, 7]"
Sherman Ip,University of London Archery Club,"[10, 9, 7, 5, 5, 4, 7, 6, 6, 5, 4, 3, 10, 9, 7, 7, 6, 4, 7, 7, 7, 7, 5, 0, 7, 7, 7, 5, 3, 2, 8, 6, 6, 4, 2, 0, 10, 9, 9, 7, 7, 7, 9, 9, 8, 7, 6, 6, 9, 9, 8, 8, 7, 7, 10, 9, 8, 6, 6, 5, 10, 8, 8, 7, 6, 0, 9, 9, 8, 7, 6, 6, 8, 7, 7, 6, 5, 3, 9, 8, 7, 8, 7, 5, 10, 8, 7, 10, 8, 5, 9, 8, 7, 10, 7, 4, 10, 9, 9, 9, 7, 6, 9, 8, 7, 9, 9, 9, 10, 9, 7, 10, 10, 10, 10, 5, 5, 9, 8, 8, 9, 9, 8, 10, 10, 9, 9, 9, 8, 10, 9, 8, 8, 7, 6, 9, 8, 8, 10, 7, 7, 10, 10, 9]"
Bilaal Mohammad,Derby University Archery Club,"[8, 7, 7, 6, 5, 5, 9, 9, 7, 6, 5, 0, 8, 7, 7, 7, 5, 4, 8, 6, 3, 3, 2, 2, 9, 7, 7, 6, 2, 1, 8, 8, 4, 4, 2, 0, 8, 8, 8, 7, 6, 6, 10, 9, 8, 8, 6, 4, 9, 8, 8, 7, 7, 1, 9, 9, 7, 7, 6, 6, 9, 9, 8, 6, 6, 0, 9, 8, 8, 8, 7, 5, 8, 7, 6, 6, 5, 5, 8, 7, 4, 9, 8, 8, 9, 7, 6, 9, 8, 7, 9, 9, 5, 9, 7, 6, 9, 8, 7, 9, 7, 3, 9, 6, 1, 8, 7, 0, 2, 0, 0, 6, 4, 1, 8, 7, 7, 9, 7, 5, 10, 9, 6, 7, 7, 0, 9, 9, 6, 7, 6, 6, 7, 6, 3, 7, 7, 3, 10, 9, 6, 8, 8, 7]"
Huw Vaughan-Jackson,Edinburgh University Archery Club,"[9, 8, 7, 6, 6, 0, 8, 6, 5, 5, 4, 1, 10, 9, 7, 7, 3, 2, 10, 8, 7, 6, 2, 0, 8, 7, 5, 4, 4, 1, 10, 4, 3, 2, 0, 0, 8, 6, 6, 5, 2, 1, 10, 8, 5, 5, 5, 3, 10, 8, 5, 5, 2, 1, 10, 10, 8, 7, 4, 3, 9, 8, 7, 7, 7, 4, 9, 8, 7, 7, 4, 3, 9, 5, 1, 9, 9, 7, 7, 7, 5, 8, 6, 5, 8, 6, 4, 9, 8, 4, 7, 6, 4, 10, 7, 6, 7, 5, 2, 7, 7, 4, 9, 6, 5, 8, 7, 5, 8, 8, 8, 10, 8, 8, 9, 8, 6, 10, 8, 7, 9, 7, 6, 10, 9, 8, 8, 6, 6, 8, 7, 7, 8, 8, 7, 9, 9, 7, 8, 7, 6, 9, 6, 5]"
Robert Smith,Liverpool University Archery Club,"[9, 8, 7, 7, 7, 2, 8, 7, 7, 6, 6, 1, 8, 8, 5, 5, 4, 3, 10, 10, 5, 4, 2, 2, 9, 8, 7, 4, 3, 3, 9, 7, 7, 6, 6, 1, 8, 2, 1, 0, 0, 0, 8, 6, 3, 0, 0, 0, 10, 7, 7, 6, 5, 5, 8, 8, 7, 6, 5, 4, 10, 9, 9, 8, 7, 5, 9, 7, 6, 5, 3, 2, 7, 7, 6, 8, 7, 2, 9, 6, 5, 10, 8, 6, 9, 7, 5, 8, 7, 3, 8, 6, 1, 8, 7, 5, 9, 8, 7, 8, 4, 4, 7, 7, 6, 8, 7, 2, 9, 7, 6, 9, 7, 6, 8, 6, 6, 10, 10, 9, 8, 7, 7, 10, 8, 7, 8, 7, 6, 9, 8, 7, 10, 9, 6, 10, 10, 7, 9, 8, 8, 10, 10, 9]"
James Strudwick,Southampton University Archery Club,"[7, 5, 0, 0, 0, 0, 6, 3, 3, 0, 0, 0, 6, 5, 1, 0, 0, 0, 6, 5, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 3, 3, 2, 0, 0, 0, 4, 2, 1, 0, 0, 0, 10, 8, 6, 4, 2, 0, 8, 7, 6, 5, 5, 0, 4, 2, 2, 0, 0, 0, 9, 7, 5, 5, 4, 1, 6, 5, 5, 5, 5, 2, 4, 4, 2, 7, 6, 5, 7, 7, 6, 7, 6, 4, 7, 6, 5, 9, 4, 2, 9, 1, 0, 10, 10, 7, 7, 2, 1, 8, 7, 3, 9, 3, 3, 9, 7, 3, 9, 7, 4, 8, 5, 4, 10, 8, 8, 8, 7, 7, 9, 8, 7, 9, 6, 4, 8, 7, 4, 8, 8, 3, 8, 7, 5, 10, 7, 5, 7, 5, 2, 9, 7, 6]"
Tom Holdich,Sheffield University Archery Club,"[0, 0, 0, 0, 0, 0, 6, 4, 3, 0, 0, 0, 7, 6, 1, 0, 0, 0, 10, 8, 6, 4, 0, 0, 5, 5, 1, 0, 0, 0, 8, 5, 1, 0, 0, 0, 9, 2, 0, 0, 0, 0, 8, 5, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 2, 2, 0, 0, 3, 1, 1, 1, 0, 0, 6, 3, 2, 2, 1, 0, 0, 0, 0, 4, 0, 0, 7, 5, 2, 10, 4, 2, 6, 2, 0, 9, 7, 2, 6, 5, 5, 0, 0, 0, 9, 2, 1, 7, 5, 2, 4, 2, 0, 8, 4, 2, 6, 5, 3, 8, 7, 7, 9, 9, 7, 9, 8, 4, 10, 10, 7, 10, 9, 5, 10, 9, 8, 8, 8, 7, 10, 6, 5, 8, 7, 2, 9, 6, 5, 8, 8, 7]"
Lifei Zhang,University of London Archery Club,"[8, 8, 7, 5, 4, 0, 9, 9, 8, 3, 1, 0, 8, 8, 6, 4, 3, 0, 9, 6, 5, 3, 2, 1, 8, 8, 7, 6, 3, 2, 9, 9, 7, 7, 6, 5, 10, 9, 9, 7, 5, 4, 9, 9, 8, 7, 6, 1, 9, 8, 6, 6, 3, 2, 9, 9, 8, 7, 5, 5, 9, 8, 7, 7, 6, 4, 9, 8, 8, 7, 7, 6, 6, 2, 0, 8, 7, 7, 8, 3, 0, 8, 6, 0, 6, 5, 2, 9, 7, 0, 7, 6, 3, 8, 8, 3, 7, 6, 5, 3, 3, 2, 7, 5, 3, 9, 9, 7, 9, 8, 8, 10, 8, 8, 8, 8, 3, 6, 6, 5, 0, 9, 5, 8, 8, 8, 10, 9, 8, 10, 9, 6, 9, 8, 5, 10, 6, 2, 10, 7, 6, 10, 8, 7]"
Alexander Gilliland,Edinburgh University Archery Club,"[4, 3, 2, 0, 0, 0, 9, 5, 5, 1, 0, 0, 7, 5, 4, 4, 2, 0, 7, 6, 6, 4, 4, 0, 8, 5, 5, 3, 0, 0, 8, 4, 1, 0, 0, 0, 2, 1, 1, 0, 0, 0, 7, 7, 6, 4, 1, 0, 6, 5, 3, 2, 2, 1, 6, 4, 4, 3, 0, 0, 10, 9, 6, 4, 3, 3, 9, 8, 5, 3, 3, 0, 2, 2, 0, 6, 3, 1, 5, 4, 0, 6, 6, 0, 8, 7, 4, 4, 4, 3, 9, 9, 0, 8, 8, 4, 9, 4, 1, 9, 4, 3, 8, 0, 0, 5, 5, 0, 8, 6, 4, 7, 5, 5, 9, 8, 5, 7, 4, 3, 8, 8, 4, 10, 7, 4, 9, 8, 7, 8, 7, 5, 7, 6, 5, 9, 9, 7, 8, 8, 7, 9, 3, 3]"
