name,club,scores
Tom Bainbridge,Sheffield Hallam University Archery Club,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Richard Jones,Liverpool University Archery Club,"[7, 5, 5, 4, 4, 3, 8, 6, 5, 3, 0, 0, 8, 4, 1, 0, 0, 0, 6, 3, 3, 3, 2, 1, 8, 8, 6, 5, 3, 0, 9, 3, 2, 1, 1, 0, 6, 5, 5, 4, 4, 3, 8, 6, 4, 4, 1, 1, 9, 8, 8, 7, 5, 4, 8, 8, 7, 4, 4, 1, 9, 8, 7, 7, 6, 6, 7, 5, 5, 5, 3, 1, 4, 3, 2, 10, 7, 5, 8, 3, 1, 10, 7, 7, 7, 7, 2, 3, 2, 1, 8, 6, 1, 8, 5, 3, 7, 6, 4, 6, 6, 3, 7, 4, 2, 6, 6, 1, 7, 7, 6, 9, 8, 7, 9, 7, 4, 7, 7, 7, 10, 9, 7, 8, 8, 7, 10, 8, 8, 7, 7, 5, 7, 4, 3, 6, 5, 2, 6, 6, 4, 7, 6, 6]"
Luis Filipe Paulinyi,Southampton University Archery Club,"[8, 7, 6, 5, 5, 3, 9, 9, 8, 7, 7, 4, 10, 9, 9, 9, 6, 6, 9, 9, 9, 7, 7, 7, 9, 9, 8, 7, 7, 5, 8, 8, 8, 7, 7, 6, 10, 9, 7, 7, 7, 7, 9, 9, 9, 8, 7, 6, 9, 9, 9, 9, 8, 8, 9, 9, 9, 9, 8, 8, 9, 9, 9, 9, 8, 8, 10, 9, 9, 8, 8, 6, 9, 8, 8, 9, 9, 7, 8, 8, 8, 10, 9, 8, 7, 7, 7, 10, 9, 9, 9, 8, 6, 9, 9, 7, 8, 8, 4, 9, 9, 8, 9, 9, 9, 8, 8, 7, 10, 10, 8, 10, 10, 9, 9, 9, 9, 10, 9, 9, 9, 9, 8, 10, 10, 10, 9, 9, 9, 9, 9, 8, 9, 9, 8, 10, 10, 9, 10, 10, 9, 10, 9, 8]"
Anthony Tang,University of London Archery Club,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Theo Chen-Sverre,Southampton University Archery Club,"[8, 4, 3, 3, 2, 0, 4, 2, 2, 2, 0, 0, 7, 6, 6, 5, 3, 2, 9, 8, 7, 7, 6, 5, 8, 5, 4, 0, 0, 0, 6, 5, 5, 2, 0, 0, 7, 6, 6, 4, 2, 2, 8, 8, 6, 5, 3, 2, 9, 5, 2, 0, 0, 0, 10, 8, 4, 3, 2, 2, 7, 6, 6, 5, 5, 4, 8, 7, 7, 6, 5, 0, 0, 0, 0, 8, 7, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
George Harding,Nottingham University Archery Club,"[8, 8, 8, 7, 7, 6, 10, 9, 6, 6, 5, 4, 10, 8, 8, 6, 6, 4, 8, 7, 7, 6, 5, 4, 9, 8, 8, 8, 7, 7, 10, 7, 7, 6, 6, 4, 9, 9, 9, 9, 8, 6, 10, 9, 9, 8, 8, 8, 10, 10, 9, 9, 8, 7, 9, 9, 9, 8, 7, 5, 10, 10, 9, 8, 8, 7, 10, 10, 9, 8, 8, 8, 10, 10, 7, 10, 9, 8, 9, 9, 8, 8, 8, 6, 8, 8, 5, 9, 8, 6, 9, 9, 8, 9, 8, 8, 10, 9, 8, 10, 9, 8, 9, 9, 8, 10, 10, 8, 10, 10, 10, 10, 10, 9, 10, 10, 10, 10, 10, 9, 10, 10, 9, 10, 10, 10, 10, 9, 8, 10, 10, 9, 10, 10, 10, 10, 10, 9, 10, 10, 10, 10, 10, 10]"
Colin Gordon,University of London Archery Club,"[6, 6, 5, 3, 3, 1, 8, 6, 6, 4, 0, 0, 7, 7, 5, 5, 2, 0, 8, 6, 5, 4, 1, 0, 8, 6, 6, 5, 5, 4, 7, 4, 4, 4, 3, 2, 6, 3, 3, 0, 0, 0, 7, 7, 5, 5, 5, 4, 9, 8, 6, 6, 5, 5, 7, 7, 5, 5, 3, 0, 7, 7, 6, 5, 5, 3, 9, 8, 7, 7, 2, 1, 5, 2, 2, 3, 1, 0, 10, 2, 2, 6, 3, 1, 5, 3, 3, 8, 6, 0, 8, 7, 0, 10, 7, 4, 6, 5, 2, 8, 6, 1, 8, 7, 2, 9, 6, 6, 7, 6, 4, 6, 6, 5, 9, 8, 7, 9, 9, 7, 10, 9, 7, 10, 8, 7, 10, 9, 4, 8, 5, 4, 9, 8, 7, 9, 5, 5, 9, 9, 9, 10, 10, 7]"
David Forster,Brunel University Archery Club,"[10, 9, 8, 8, 7, 3, 10, 9, 7, 6, 6, 1, 9, 8, 7, 6, 5, 4, 9, 8, 8, 8, 5, 4, 10, 9, 9, 8, 7, 5, 9, 8, 6, 5, 5, 2, 9, 8, 8, 6, 5, 4, 9, 9, 8, 8, 7, 7, 10, 8, 8, 7, 6, 5, 10, 10, 10, 8, 8, 7, 10, 8, 8, 8, 6, 6, 10, 9, 8, 8, 7, 6, 9, 7, 6, 10, 6, 6, 9, 8, 6, 8, 6, 4, 9, 8, 5, 8, 7, 5, 10, 9, 8, 9, 8, 4, 9, 8, 2, 9, 9, 7, 7, 7, 7, 9, 8, 8, 10, 9, 7, 9, 9, 8, 9, 8, 8, 10, 9, 8, 9, 9, 8, 10, 10, 9, 9, 9, 9, 9, 8, 7, 10, 9, 8, 9, 9, 8, 10, 10, 10, 10, 9, 9]"
Declan Ashworth,Southampton University Archery Club,"[10, 8, 6, 4, 0, 0, 9, 7, 4, 2, 0, 0, 6, 6, 6, 3, 2, 0, 3, 3, 2, 0, 0, 0, 8, 5, 3, 3, 0, 0, 7, 7, 6, 4, 4, 3, 8, 7, 7, 5, 0, 0, 6, 6, 6, 4, 3, 1, 9, 8, 6, 5, 5, 4, 8, 8, 6, 5, 3, 1, 6, 5, 5, 2, 1, 0, 7, 6, 6, 5, 1, 0, 7, 3, 1, 5, 4, 0, 9, 4, 1, 5, 4, 3, 8, 8, 3, 10, 8, 6, 7, 6, 1, 10, 8, 7, 7, 5, 3, 8, 8, 8, 8, 8, 3, 7, 7, 0, 10, 8, 7, 8, 8, 6, 9, 8, 4, 9, 8, 7, 9, 9, 7, 9, 8, 8, 8, 7, 6, 10, 7, 6, 8, 8, 8, 9, 8, 8, 8, 8, 7, 9, 9, 6]"
Tom Hall,University of Warwick Archery Club,"[9, 8, 6, 4, 3, 2, 10, 9, 6, 5, 4, 2, 8, 7, 7, 7, 7, 5, 10, 8, 6, 6, 5, 5, 10, 8, 7, 4, 4, 3, 8, 7, 6, 6, 5, 5, 8, 7, 6, 6, 4, 3, 10, 8, 7, 7, 7, 7, 10, 9, 9, 8, 7, 7, 9, 8, 8, 7, 6, 4, 10, 9, 8, 8, 6, 5, 10, 8, 8, 7, 7, 5, 7, 7, 5, 10, 9, 9, 10, 9, 3, 10, 9, 7, 10, 9, 9, 8, 7, 5, 8, 7, 6, 9, 9, 8, 8, 8, 7, 8, 8, 7, 9, 9, 8, 9, 8, 7, 9, 8, 6, 10, 9, 9, 8, 8, 7, 10, 9, 8, 9, 9, 7, 9, 9, 8, 10, 10, 9, 10, 9, 9, 10, 10, 8, 10, 9, 9, 9, 8, 7, 8, 8, 7]"
Richard Haydock,Nottingham University Archery Club,"[8, 8, 7, 5, 5, 5, 6, 6, 5, 5, 3, 0, 10, 7, 6, 6, 2, 0, 6, 6, 5, 5, 4, 4, 9, 8, 6, 4, 3, 0, 8, 8, 8, 8, 3, 1, 10, 9, 3, 2, 1, 1, 10, 9, 9, 9, 7, 5, 8, 8, 8, 7, 7, 7, 8, 7, 7, 5, 2, 2, 10, 10, 8, 7, 6, 3, 10, 9, 9, 8, 8, 4, 9, 8, 6, 9, 8, 0, 9, 8, 5, 8, 7, 6, 7, 5, 5, 9, 6, 5, 6, 6, 5, 9, 9, 7, 10, 8, 7, 9, 8, 5, 9, 9, 7, 9, 9, 7, 9, 9, 5, 10, 9, 9, 10, 9, 9, 8, 7, 2, 10, 8, 8, 9, 9, 9, 9, 7, 6, 10, 9, 9, 9, 8, 8, 9, 9, 1, 10, 9, 8, 9, 9, 7]"
David Barnes,University of London Archery Club,"[7, 7, 6, 6, 1, 0, 9, 8, 7, 6, 2, 0, 10, 9, 6, 6, 5, 3, 9, 9, 6, 5, 5, 0, 8, 6, 5, 4, 4, 4, 9, 9, 6, 5, 4, 1, 8, 7, 7, 6, 5, 1, 9, 6, 6, 6, 6, 6, 10, 9, 8, 7, 5, 3, 8, 8, 8, 8, 6, 4, 9, 8, 7, 7, 6, 3, 10, 9, 7, 5, 4, 2, 8, 7, 6, 10, 9, 5, 8, 8, 4, 8, 7, 7, 8, 6, 6, 7, 6, 3, 6, 5, 5, 9, 8, 4, 9, 9, 7, 8, 7, 6, 9, 7, 7, 8, 8, 4, 10, 7, 6, 8, 7, 6, 10, 9, 8, 10, 9, 7, 8, 8, 7, 7, 7, 6, 10, 8, 8, 10, 9, 8, 9, 9, 9, 7, 6, 5, 8, 8, 5, 9, 9, 5]"
Alex Henman,University of Warwick Archery Club,"[5, 4, 4, 4, 4, 0, 8, 5, 3, 1, 0, 0, 9, 7, 6, 3, 0, 0, 8, 4, 3, 2, 2, 0, 6, 5, 4, 4, 1, 1, 8, 8, 7, 7, 6, 3, 9, 8, 8, 6, 4, 3, 9, 8, 7, 7, 3, 2, 9, 8, 7, 7, 7, 5, 9, 5, 5, 4, 4, 0, 9, 8, 8, 5, 5, 2, 8, 7, 6, 5, 5, 4, 7, 6, 3, 10, 6, 5, 6, 3, 0, 7, 6, 1, 7, 5, 1, 4, 3, 2, 8, 4, 0, 7, 6, 5, 7, 2, 1, 10, 5, 3, 7, 5, 4, 6, 6, 5, 9, 8, 7, 7, 7, 6, 10, 9, 6, 9, 9, 8, 9, 8, 8, 8, 6, 5, 10, 8, 8, 9, 7, 5, 10, 8, 6, 10, 7, 6, 9, 8, 6, 6, 6, 6]"
Oliver Vavasour,University of Warwick Archery Club,"[7, 5, 5, 4, 4, 1, 8, 7, 6, 5, 5, 3, 8, 8, 7, 6, 4, 2, 9, 8, 6, 6, 3, 3, 10, 9, 7, 6, 3, 3, 8, 7, 6, 5, 2, 2, 8, 7, 7, 6, 2, 2, 9, 9, 8, 6, 5, 3, 7, 6, 4, 2, 1, 1, 10, 8, 8, 7, 6, 6, 10, 9, 8, 6, 6, 4, 8, 7, 6, 6, 4, 4, 4, 3, 2, 5, 1, 1, 10, 6, 4, 10, 8, 7, 10, 9, 6, 7, 7, 5, 8, 6, 3, 8, 7, 4, 10, 8, 7, 6, 5, 0, 7, 5, 4, 7, 6, 4, 0, 0, 0, 10, 9, 6, 10, 9, 9, 9, 7, 7, 10, 8, 6, 10, 9, 8, 9, 9, 8, 9, 9, 9, 10, 9, 7, 10, 9, 9, 10, 9, 8, 10, 9, 8]"
Stephen Fawcett,Southampton University Archery Club,"[8, 6, 6, 5, 5, 2, 9, 8, 7, 6, 6, 4, 9, 8, 7, 5, 5, 0, 9, 8, 7, 6, 5, 0, 6, 5, 5, 4, 4, 3, 9, 7, 3, 3, 2, 1, 10, 9, 7, 7, 7, 6, 9, 8, 8, 8, 5, 5, 10, 6, 4, 4, 4, 3, 9, 7, 6, 6, 4, 3, 8, 8, 7, 4, 4, 4, 9, 9, 8, 6, 5, 0, 6, 5, 5, 8, 8, 4, 7, 6, 1, 8, 7, 7, 7, 7, 5, 8, 3, 1, 7, 7, 7, 9, 6, 2, 7, 4, 1, 10, 8, 4, 10, 10, 4, 8, 5, 4, 10, 8, 6, 10, 8, 1, 10, 9, 8, 9, 9, 8, 10, 8, 7, 9, 8, 7, 10, 9, 9, 9, 9, 9, 9, 9, 9, 9, 8, 8, 9, 9, 8, 8, 7, 7]"
Phil Middleton,Nottingham University Archery Club,"[10, 9, 8, 7, 7, 4, 9, 7, 6, 6, 6, 5, 9, 8, 7, 7, 7, 3, 9, 8, 7, 7, 7, 5, 9, 8, 7, 5, 3, 2, 9, 8, 6, 5, 4, 2, 9, 9, 8, 8, 8, 5, 10, 9, 8, 8, 7, 5, 10, 9, 8, 8, 8, 6, 10, 9, 8, 8, 7, 7, 10, 9, 9, 9, 8, 6, 9, 9, 9, 6, 6, 4, 10, 9, 8, 9, 8, 4, 9, 8, 8, 10, 9, 2, 9, 9, 8, 9, 7, 5, 8, 5, 5, 9, 8, 7, 8, 7, 6, 8, 7, 7, 10, 9, 8, 8, 8, 6, 10, 10, 7, 8, 8, 8, 9, 9, 7, 9, 9, 8, 10, 8, 8, 10, 8, 8, 9, 9, 7, 9, 9, 7, 9, 9, 8, 9, 9, 8, 9, 8, 8, 8, 7, 7]"
Romain Sautier,Nottingham University Archery Club,"[9, 8, 8, 6, 6, 4, 8, 6, 5, 3, 2, 2, 6, 5, 4, 4, 0, 0, 9, 7, 5, 3, 1, 0, 7, 6, 6, 5, 4, 0, 8, 6, 5, 2, 0, 0, 9, 9, 8, 6, 5, 3, 8, 8, 8, 6, 5, 5, 8, 6, 6, 5, 4, 4, 10, 9, 8, 8, 7, 3, 9, 9, 8, 8, 8, 4, 10, 8, 8, 8, 8, 5, 8, 5, 5, 7, 5, 4, 9, 8, 7, 8, 8, 4, 8, 6, 1, 10, 8, 5, 10, 9, 8, 9, 7, 7, 9, 9, 8, 7, 4, 0, 9, 9, 3, 8, 7, 5, 10, 9, 8, 10, 10, 9, 10, 8, 8, 8, 8, 8, 9, 9, 8, 10, 10, 9, 9, 8, 1, 9, 8, 8, 10, 10, 10, 8, 7, 7, 9, 8, 7, 10, 9, 8]"
Simon King,Southampton University Archery Club,"[9, 7, 6, 6, 5, 3, 9, 7, 6, 5, 4, 1, 8, 8, 7, 7, 7, 5, 8, 7, 7, 4, 2, 0, 9, 7, 6, 6, 2, 0, 10, 9, 8, 6, 6, 5, 10, 10, 9, 8, 6, 6, 10, 10, 9, 9, 6, 4, 9, 7, 7, 7, 6, 5, 10, 10, 7, 6, 5, 2, 10, 8, 8, 7, 4, 3, 9, 8, 8, 7, 6, 5, 7, 5, 5, 8, 7, 6, 9, 8, 7, 9, 8, 7, 7, 6, 6, 9, 8, 7, 7, 5, 1, 7, 7, 2, 9, 7, 7, 10, 8, 3, 8, 5, 2, 10, 7, 6, 10, 10, 9, 8, 7, 7, 8, 7, 7, 10, 9, 8, 9, 7, 6, 8, 8, 6, 8, 5, 3, 9, 7, 7, 9, 7, 6, 8, 8, 7, 9, 8, 8, 10, 10, 8]"
Jorge Lindley,University of Warwick Archery Club,"[8, 8, 8, 6, 4, 1, 8, 6, 5, 4, 3, 2, 10, 10, 9, 8, 7, 0, 9, 9, 7, 6, 5, 5, 8, 7, 7, 6, 5, 3, 10, 8, 8, 7, 7, 4, 9, 9, 9, 9, 8, 4, 10, 9, 8, 7, 6, 5, 10, 9, 8, 8, 7, 6, 10, 9, 9, 9, 8, 7, 9, 8, 8, 8, 7, 7, 9, 8, 7, 7, 6, 4, 9, 7, 6, 9, 8, 4, 9, 9, 5, 10, 8, 7, 8, 8, 5, 10, 7, 6, 10, 9, 8, 9, 8, 7, 9, 7, 7, 9, 7, 7, 10, 9, 6, 9, 7, 5, 10, 9, 9, 9, 9, 8, 9, 9, 9, 10, 9, 8, 8, 8, 7, 10, 9, 8, 10, 9, 8, 10, 9, 9, 10, 8, 8, 9, 9, 7, 9, 9, 8, 10, 9, 8]"
Chris Skipper,Southampton University Archery Club,"[9, 8, 8, 6, 4, 3, 9, 5, 5, 5, 4, 2, 10, 7, 6, 3, 3, 0, 8, 6, 5, 2, 2, 1, 6, 4, 3, 2, 0, 0, 9, 8, 5, 3, 2, 0, 10, 9, 7, 2, 2, 0, 8, 8, 8, 6, 5, 0, 10, 8, 7, 7, 6, 3, 9, 7, 6, 6, 5, 4, 8, 8, 8, 7, 7, 6, 9, 9, 8, 7, 6, 4, 10, 9, 8, 8, 5, 4, 10, 9, 6, 9, 6, 0, 9, 9, 5, 1, 0, 0, 9, 6, 4, 9, 4, 2, 8, 7, 3, 8, 7, 5, 10, 7, 5, 8, 7, 5, 10, 8, 8, 10, 10, 6, 8, 8, 7, 9, 7, 6, 10, 10, 3, 9, 9, 8, 10, 9, 5, 10, 7, 7, 9, 8, 6, 8, 8, 8, 10, 8, 8, 9, 9, 8]"
Connor Gallagher,University of Warwick Archery Club,"[9, 8, 7, 5, 1, 1, 10, 9, 8, 5, 2, 0, 8, 8, 6, 5, 5, 5, 9, 8, 7, 7, 1, 0, 10, 5, 5, 4, 2, 0, 9, 8, 8, 2, 1, 1, 9, 8, 7, 7, 6, 4, 10, 9, 8, 7, 6, 6, 10, 9, 7, 6, 6, 5, 10, 10, 9, 9, 5, 3, 9, 8, 7, 5, 5, 3, 10, 9, 6, 5, 4, 0, 8, 6, 6, 9, 6, 4, 10, 10, 5, 7, 7, 6, 10, 9, 8, 8, 7, 6, 9, 5, 2, 9, 8, 7, 9, 9, 8, 9, 9, 8, 9, 8, 6, 8, 8, 7, 9, 9, 7, 10, 9, 6, 9, 9, 9, 10, 9, 7, 9, 9, 5, 10, 9, 9, 9, 9, 8, 10, 10, 9, 9, 8, 7, 10, 8, 6, 7, 7, 6, 8, 8, 6]"
Chris Fry,Nottingham University Archery Club,"[10, 7, 7, 6, 6, 4, 9, 8, 7, 5, 5, 4, 8, 7, 7, 7, 6, 6, 9, 8, 8, 7, 7, 5, 8, 8, 7, 5, 5, 4, 9, 9, 9, 7, 7, 5, 10, 8, 8, 7, 7, 6, 9, 9, 8, 7, 7, 3, 10, 10, 9, 8, 8, 8, 9, 9, 8, 8, 7, 7, 10, 9, 9, 9, 7, 6, 10, 10, 9, 9, 9, 6, 9, 7, 4, 9, 9, 7, 10, 9, 6, 10, 9, 7, 10, 10, 6, 10, 9, 4, 9, 7, 6, 9, 7, 5, 10, 9, 8, 9, 7, 5, 9, 9, 8, 10, 8, 8, 10, 10, 7, 10, 10, 8, 10, 10, 9, 10, 10, 9, 9, 8, 8, 10, 10, 9, 10, 10, 8, 10, 9, 9, 10, 9, 9, 10, 9, 8, 10, 10, 8, 9, 9, 8]"
Stuart Archer,Sheffield University Archery Club,"[9, 7, 6, 4, 4, 0, 9, 9, 9, 8, 6, 5, 10, 6, 5, 5, 4, 4, 10, 8, 7, 6, 3, 1, 9, 8, 8, 6, 6, 6, 9, 8, 6, 6, 5, 5, 8, 7, 4, 1, 1, 1, 9, 9, 9, 7, 4, 3, 10, 8, 8, 8, 4, 0, 9, 8, 7, 6, 5, 2, 7, 7, 7, 6, 5, 4, 9, 9, 8, 8, 6, 5, 9, 5, 1, 8, 6, 1, 9, 7, 5, 6, 6, 6, 8, 7, 7, 8, 8, 4, 9, 6, 0, 3, 2, 0, 10, 5, 0, 5, 0, 0, 7, 6, 5, 7, 4, 0, 9, 8, 7, 9, 9, 9, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Matt Leivers,Southampton University Archery Club,"[7, 5, 4, 2, 2, 0, 9, 7, 7, 4, 3, 0, 5, 4, 3, 3, 2, 1, 5, 4, 2, 2, 1, 0, 8, 8, 3, 3, 2, 1, 7, 7, 5, 3, 0, 0, 9, 8, 7, 6, 6, 1, 8, 7, 7, 7, 7, 2, 9, 8, 8, 6, 5, 5, 8, 6, 5, 5, 4, 2, 8, 7, 7, 5, 5, 4, 9, 9, 8, 5, 5, 1, 4, 0, 0, 8, 5, 4, 9, 7, 0, 0, 0, 0, 7, 7, 2, 8, 7, 3, 7, 7, 6, 10, 8, 7, 10, 9, 7, 6, 5, 4, 7, 4, 0, 9, 8, 5, 9, 6, 6, 8, 8, 7, 9, 9, 7, 10, 9, 6, 8, 8, 7, 9, 8, 7, 10, 8, 7, 10, 9, 6, 9, 6, 3, 9, 9, 7, 9, 8, 8, 9, 9, 8]"
Christopher Guerin,University of Warwick Archery Club,"[8, 8, 7, 5, 5, 2, 5, 4, 3, 3, 0, 0, 9, 7, 5, 4, 3, 0, 8, 4, 4, 3, 3, 0, 6, 5, 5, 4, 4, 0, 9, 4, 3, 2, 1, 1, 8, 7, 4, 4, 2, 1, 7, 6, 6, 6, 5, 3, 10, 8, 7, 7, 4, 3, 10, 8, 7, 6, 6, 6, 9, 9, 9, 7, 6, 4, 10, 10, 10, 8, 8, 4, 9, 8, 6, 8, 7, 5, 7, 6, 4, 9, 7, 6, 8, 7, 5, 7, 6, 5, 10, 7, 6, 9, 6, 2, 9, 6, 5, 7, 6, 5, 10, 10, 10, 9, 6, 4, 8, 7, 6, 9, 8, 8, 10, 9, 7, 8, 8, 0, 9, 9, 8, 10, 9, 6, 9, 9, 4, 10, 9, 7, 9, 8, 5, 9, 8, 7, 8, 8, 6, 9, 9, 7]"
Matthew Sharpe,Surrey University Archers,"[8, 7, 5, 3, 2, 0, 8, 7, 7, 7, 7, 3, 10, 10, 6, 4, 4, 4, 9, 9, 8, 6, 5, 0, 10, 8, 8, 7, 4, 3, 7, 7, 5, 5, 4, 2, 10, 10, 10, 9, 9, 7, 9, 7, 7, 6, 6, 3, 10, 9, 9, 8, 6, 6, 9, 6, 5, 5, 5, 4, 7, 7, 6, 6, 5, 4, 9, 8, 8, 8, 8, 5, 7, 5, 1, 9, 5, 3, 7, 7, 6, 9, 9, 6, 8, 8, 6, 10, 7, 3, 9, 9, 8, 10, 7, 5, 7, 5, 1, 8, 7, 6, 10, 7, 7, 10, 6, 4, 7, 6, 4, 10, 7, 6, 10, 9, 9, 8, 7, 7, 9, 9, 8, 8, 7, 7, 8, 8, 6, 9, 8, 6, 9, 8, 6, 8, 8, 7, 9, 8, 8, 10, 9, 7]"
